Week,Model,Prompt,Wins,Losses,Pushes,Record,P/L
9,ChatGPT,1,1,3,0,1-3,$-14.55
9,ChatGPT,2,0,2,0,0-2,$-20.00
9,ChatGPT,3,1,0,0,1-0,$+10.00
9,ChatGPT,4,0,1,0,0-1,$-11.00
9,ChatGPT,5,2,0,0,2-0,$+20.00
9,Claude,1,3,1,0,3-1,$+10.55
9,Claude,2,2,1,0,2-1,$+8.64
9,Claude,3,0,1,0,0-1,$-11.00
9,Claude,4,0,1,0,0-1,$-11.00
9,Claude,5,2,1,0,2-1,$+9.00
9,Gemini,1,1,3,0,1-3,$-14.91
9,Gemini,2,2,1,0,2-1,$+8.64
9,Gemini,3,0,1,0,0-1,$-11.00
9,Gemini,4,0,1,0,0-1,$-11.00
9,Gemini,5,1,1,0,1-1,$-1.00
11,ChatGPT,1,1,1,1,1-1-1,$-0.45
11,ChatGPT,2,1,1,0,1-1,$-0.91
11,ChatGPT,3,1,0,0,1-0,$+10.00
11,ChatGPT,4,0,1,0,0-1,$-11.00
11,ChatGPT,5,1,1,0,1-1,$-1.00
11,ChatGPT,7,3,0,0,3-0,$+30.00
11,ChatGPT,11,3,0,0,3-0,$+30.00
11,Claude,1,1,2,0,1-2,$-4.27
11,Claude,2,1,1,0,1-1,$-0.91
11,Claude,3,2,0,0,2-0,$+20.00
11,Claude,4,1,1,0,1-1,$-1.00
11,Claude,5,0,2,0,0-2,$-22.00
11,Claude,6,0,2,0,0-2,$-22.00
11,Claude,7,3,0,0,3-0,$+30.00
11,Claude,11,2,1,0,2-1,$+9.00
11,Gemini,1,3,1,0,3-1,$+5.09
11,Gemini,2,2,0,0,2-0,$+18.18
11,Gemini,3,0,1,0,0-1,$-11.00
11,Gemini,4,0,1,0,0-1,$-11.00
11,Gemini,5,1,1,0,1-1,$-1.00
11,Gemini,6,1,1,0,1-1,$-1.00
11,Gemini,7,2,0,0,2-0,$+20.00
11,Gemini,11,3,0,0,3-0,$+30.00
